Input_Size,Run_ID,Algorithm,Comparisons
1000,152,QuickSort,11008
1000,152,HeapSort,11751
1000,153,BubbleSort,999000
1000,153,InsertionSort,254754
1000,153,SelectionSort,499500
1000,153,MergeSort,8747
1000,153,QuickSort,11679
1000,153,HeapSort,11719
1000,154,BubbleSort,999000
1000,154,InsertionSort,240681
1000,154,SelectionSort,499500
1000,154,MergeSort,8692
1000,154,QuickSort,10469
1000,154,HeapSort,11688
1000,155,BubbleSort,999000
1000,155,InsertionSort,244912
1000,155,SelectionSort,499500
1000,155,MergeSort,8701
1000,155,QuickSort,11545
1000,155,HeapSort,11790
1000,156,BubbleSort,999000
1000,156,InsertionSort,248456
1000,156,SelectionSort,499500
1000,156,MergeSort,8699
1000,156,QuickSort,11265
1000,156,HeapSort,11725
1000,157,BubbleSort,999000
1000,157,InsertionSort,258492
1000,157,SelectionSort,499500
1000,157,MergeSort,8719
1000,157,QuickSort,10905
1000,157,HeapSort,11679
1000,158,BubbleSort,999000
1000,158,InsertionSort,248548
1000,158,SelectionSort,499500
1000,158,MergeSort,8743
1000,158,QuickSort,11721
1000,158,HeapSort,11608
1000,159,BubbleSort,999000
1000,159,InsertionSort,251172
1000,159,SelectionSort,499500
1000,159,MergeSort,8709
1000,159,QuickSort,11293
